N5E_4.hifi_reads_ITS_full_and_partial.fasta,8150
N5E_L.hifi_reads_ITS_full_and_partial.fasta,17208
N5E_M1.hifi_reads_ITS_full_and_partial.fasta,25782
N5E_M2.hifi_reads_ITS_full_and_partial.fasta,22643
N5E_O.hifi_reads_ITS_full_and_partial.fasta,22514
S10L.hifi_reads_ITS_full_and_partial.fasta,32278
S10M1.hifi_reads_ITS_full_and_partial.fasta,4822
S10M2.hifi_reads_ITS_full_and_partial.fasta,17852
S10_O.hifi_reads_ITS_full_and_partial.fasta,34650
S11L.hifi_reads_ITS_full_and_partial.fasta,25139
S11M1.hifi_reads_ITS_full_and_partial.fasta,11583
S11M2.hifi_reads_ITS_full_and_partial.fasta,12012
S11_O.hifi_reads_ITS_full_and_partial.fasta,8575
S12L.hifi_reads_ITS_full_and_partial.fasta,13733
S12M1.hifi_reads_ITS_full_and_partial.fasta,21820
S12M2.hifi_reads_ITS_full_and_partial.fasta,15881
S12_O.hifi_reads_ITS_full_and_partial.fasta,14016
S13M1.hifi_reads_ITS_full_and_partial.fasta,6220
S13M2.hifi_reads_ITS_full_and_partial.fasta,64
S13O.hifi_reads_ITS_full_and_partial.fasta,6484
S14L.hifi_reads_ITS_full_and_partial.fasta,5221
S14M1.hifi_reads_ITS_full_and_partial.fasta,6133
S14M2.hifi_reads_ITS_full_and_partial.fasta,12138
S14_O.hifi_reads_ITS_full_and_partial.fasta,5189
S15L.hifi_reads_ITS_full_and_partial.fasta,12136
S15M1.hifi_reads_ITS_full_and_partial.fasta,32716
S15_O.hifi_reads_ITS_full_and_partial.fasta,23815
S16L.hifi_reads_ITS_full_and_partial.fasta,9386
S16M1.hifi_reads_ITS_full_and_partial.fasta,6849
S16M2.hifi_reads_ITS_full_and_partial.fasta,19452
S16_O.hifi_reads_ITS_full_and_partial.fasta,9238
S17L.hifi_reads_ITS_full_and_partial.fasta,15219
S17M1.hifi_reads_ITS_full_and_partial.fasta,23883
S17M2.hifi_reads_ITS_full_and_partial.fasta,9374
S17_O.hifi_reads_ITS_full_and_partial.fasta,9169
S18L.hifi_reads_ITS_full_and_partial.fasta,9437
S18M1.hifi_reads_ITS_full_and_partial.fasta,17762
S18M2.hifi_reads_ITS_full_and_partial.fasta,22638
S18_O.hifi_reads_ITS_full_and_partial.fasta,6470
S19M1.hifi_reads_ITS_full_and_partial.fasta,13634
S19M2.hifi_reads_ITS_full_and_partial.fasta,13032
S19O.hifi_reads_ITS_full_and_partial.fasta,8052
S1L.hifi_reads_ITS_full_and_partial.fasta,15549
S1M1.hifi_reads_ITS_full_and_partial.fasta,13722
S1M2.hifi_reads_ITS_full_and_partial.fasta,10992
S1_O.hifi_reads_ITS_full_and_partial.fasta,10616
S20L.hifi_reads_ITS_full_and_partial.fasta,12060
S20M1.hifi_reads_ITS_full_and_partial.fasta,7883
S20M2.hifi_reads_ITS_full_and_partial.fasta,13801
S20_O.hifi_reads_ITS_full_and_partial.fasta,4762
S21L.hifi_reads_ITS_full_and_partial.fasta,6920
S21M2.hifi_reads_ITS_full_and_partial.fasta,5965
S21_O.hifi_reads_ITS_full_and_partial.fasta,7283
S22L.hifi_reads_ITS_full_and_partial.fasta,7648
S22M1.hifi_reads_ITS_full_and_partial.fasta,5465
S22M2.hifi_reads_ITS_full_and_partial.fasta,11893
S22_O.hifi_reads_ITS_full_and_partial.fasta,5103
S23L.hifi_reads_ITS_full_and_partial.fasta,19215
S23M1.hifi_reads_ITS_full_and_partial.fasta,29394
S23M2.hifi_reads_ITS_full_and_partial.fasta,15868
S23_O.hifi_reads_ITS_full_and_partial.fasta,18025
S24L.hifi_reads_ITS_full_and_partial.fasta,19758
S24M1.hifi_reads_ITS_full_and_partial.fasta,19039
S24M2.hifi_reads_ITS_full_and_partial.fasta,12983
S24_O.hifi_reads_ITS_full_and_partial.fasta,21630
S2L.hifi_reads_ITS_full_and_partial.fasta,11922
S2M1.hifi_reads_ITS_full_and_partial.fasta,10532
S2M2.hifi_reads_ITS_full_and_partial.fasta,10115
S2_O.hifi_reads_ITS_full_and_partial.fasta,11276
S3L.hifi_reads_ITS_full_and_partial.fasta,13185
S3M1.hifi_reads_ITS_full_and_partial.fasta,19280
S3M2.hifi_reads_ITS_full_and_partial.fasta,11059
S3_O.hifi_reads_ITS_full_and_partial.fasta,17902
S4L.hifi_reads_ITS_full_and_partial.fasta,11225
S4M1.hifi_reads_ITS_full_and_partial.fasta,13118
S4M2.hifi_reads_ITS_full_and_partial.fasta,19088
S4_O.hifi_reads_ITS_full_and_partial.fasta,13113
S5L.hifi_reads_ITS_full_and_partial.fasta,14054
S5M1.hifi_reads_ITS_full_and_partial.fasta,13030
S5M2.hifi_reads_ITS_full_and_partial.fasta,35049
S5_O.hifi_reads_ITS_full_and_partial.fasta,14156
S6L.hifi_reads_ITS_full_and_partial.fasta,11394
S6M1.hifi_reads_ITS_full_and_partial.fasta,9075
S6M2.hifi_reads_ITS_full_and_partial.fasta,15782
S6_O.hifi_reads_ITS_full_and_partial.fasta,16345
S7L.hifi_reads_ITS_full_and_partial.fasta,20639
S7M1.hifi_reads_ITS_full_and_partial.fasta,16544
S7M2.hifi_reads_ITS_full_and_partial.fasta,27412
S7_O.hifi_reads_ITS_full_and_partial.fasta,23929
S8L.hifi_reads_ITS_full_and_partial.fasta,18617
S8M1.hifi_reads_ITS_full_and_partial.fasta,14894
S8M2.hifi_reads_ITS_full_and_partial.fasta,15962
S8_O.hifi_reads_ITS_full_and_partial.fasta,17584
S9L.hifi_reads_ITS_full_and_partial.fasta,11891
S9M1.hifi_reads_ITS_full_and_partial.fasta,7481
S9M2.hifi_reads_ITS_full_and_partial.fasta,12977
S9_O.hifi_reads_ITS_full_and_partial.fasta,6003
