file,reads
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N2E_3.hifi_reads.fastq.gz,8428
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N2E_4.hifi_reads.fastq.gz,10069
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N2E_L.hifi_reads.fastq.gz,22070
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N2E_M1.hifi_reads.fastq.gz,11763
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N2E_M2.hifi_reads.fastq.gz,12008
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N2E_O.hifi_reads.fastq.gz,11230
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3C_2.hifi_reads.fastq.gz,29963
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3C_3.hifi_reads.fastq.gz,26581
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3C_4.hifi_reads.fastq.gz,20587
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3C_L.hifi_reads.fastq.gz,18722
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3C_M1.hifi_reads.fastq.gz,13590
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3C_M2.hifi_reads.fastq.gz,21798
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3C_O.hifi_reads.fastq.gz,25038
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3E_2.hifi_reads.fastq.gz,21542
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3E_3.hifi_reads.fastq.gz,17026
/proj/toband/monica/Project_1/Raw_data/files/pr_091/ccreads/pr_091_pool1/N3E_4.hifi_reads.fastq.gz,23388
